area_id,area_name,city,state,latitude,longitude,total_crimes,murder_count,robbery_count,theft_count,cybercrime_count,women_crime_count,juvenile_crime_count,night_crime_count,day_crime_count,repeat_offender_count,hotspot_score,most_common_crime,safest_time,dangerous_time,last_updated
1,Shivajinagar,Pune,Maharashtra,18.5308,73.8475,214,25,18,21,10,20,16,88,126,82,10.0,Murder,2:00 AM - 5:00 AM,12:00 PM - 6:00 PM,2026-08-08 22:55:44
2,Deccan Gymkhana,Pune,Maharashtra,18.5185,73.8402,170,15,13,18,19,13,13,74,96,88,8.5,Cybercrime,2:00 AM - 5:00 AM,12:00 PM - 6:00 PM,2026-08-08 22:55:44
3,FC Road,Pune,Maharashtra,18.527,73.841,176,17,16,18,18,12,16,67,109,68,8.8,Theft,2:00 AM - 5:00 AM,12:00 PM - 6:00 PM,2026-08-08 22:55:44
4,JM Road,Pune,Maharashtra,18.521,73.842,185,19,18,20,19,12,13,79,106,83,9.25,Theft,2:00 AM - 5:00 AM,12:00 PM - 6:00 PM,2026-08-08 22:55:44
5,Kothrud,Pune,Maharashtra,18.5074,73.8077,211,27,15,25,24,19,9,93,118,88,10.0,Murder,2:00 AM - 5:00 AM,12:00 PM - 6:00 PM,2026-08-08 22:55:44
6,Karvenagar,Pune,Maharashtra,18.4972,73.8165,182,17,20,21,23,15,8,71,111,60,9.1,Cybercrime,2:00 AM - 5:00 AM,12:00 PM - 6:00 PM,2026-08-08 22:55:44
7,Warje,Pune,Maharashtra,18.4887,73.8028,170,17,19,16,13,15,14,72,98,62,8.5,Robbery,2:00 AM - 5:00 AM,12:00 PM - 6:00 PM,2026-08-08 22:55:44
8,Bavdhan,Pune,Maharashtra,18.5128,73.78,183,14,20,14,21,11,15,70,113,94,9.15,Cybercrime,2:00 AM - 5:00 AM,12:00 PM - 6:00 PM,2026-08-08 22:55:44
9,Sinhagad Road,Pune,Maharashtra,18.475,73.82,201,17,23,21,22,22,22,86,115,88,10.0,Robbery,2:00 AM - 5:00 AM,12:00 PM - 6:00 PM,2026-08-08 22:55:44
10,Vadgaon Budruk,Pune,Maharashtra,18.478,73.81,196,27,17,23,17,17,22,86,110,78,9.8,Murder,2:00 AM - 5:00 AM,12:00 PM - 6:00 PM,2026-08-08 22:55:44
11,Dhayari,Pune,Maharashtra,18.46,73.805,193,12,23,22,27,15,21,80,113,75,9.65,Cybercrime,2:00 AM - 5:00 AM,12:00 PM - 6:00 PM,2026-08-08 22:55:44
12,Katraj,Pune,Maharashtra,18.4577,73.8553,191,17,29,17,14,15,15,89,102,80,9.55,Robbery,2:00 AM - 5:00 AM,12:00 PM - 6:00 PM,2026-08-08 22:55:44
13,Dhankawadi,Pune,Maharashtra,18.462,73.848,184,19,21,18,17,11,18,71,113,78,9.2,Robbery,2:00 AM - 5:00 AM,12:00 PM - 6:00 PM,2026-08-08 22:55:44
14,Bharati Vidyapeeth,Pune,Maharashtra,18.457,73.85,183,19,13,18,14,16,21,70,113,74,9.15,Murder,2:00 AM - 5:00 AM,12:00 PM - 6:00 PM,2026-08-08 22:55:44
15,Bibvewadi,Pune,Maharashtra,18.481,73.863,172,17,18,16,17,16,16,61,111,72,8.6,Robbery,2:00 AM - 5:00 AM,12:00 PM - 6:00 PM,2026-08-08 22:55:44
