face_id,criminal_id,image_path,face_encoding,image_resolution,capture_angle,lighting_condition,facial_expression,beard_status,glasses_status,mask_status,capture_date,source_type,confidence_score
1,CRM-IND-00001,mock_images/faces/CRM-IND-00001_mugshot.jpg,<128d_vector_blob>,250x250,Front,Artificial,Neutral,0,0,0,2022-08-14,Arrest Photo,0.9876
2,CRM-IND-00002,mock_images/faces/CRM-IND-00002_mugshot.jpg,<128d_vector_blob>,250x250,Front,Normal,Neutral,1,0,0,2024-07-10,Arrest Photo,0.8652
3,CRM-IND-00003,mock_images/faces/CRM-IND-00003_mugshot.jpg,<128d_vector_blob>,250x250,Front,Normal,Neutral,0,0,0,2022-06-03,Arrest Photo,0.7992
4,CRM-IND-00004,mock_images/faces/CRM-IND-00004_mugshot.jpg,<128d_vector_blob>,250x250,Front,Low light,Neutral,0,0,0,2022-08-28,Arrest Photo,0.834
5,CRM-IND-00005,mock_images/faces/CRM-IND-00005_mugshot.jpg,<128d_vector_blob>,250x250,Front,Low light,Neutral,0,0,0,2023-03-03,Arrest Photo,0.7603
6,CRM-IND-00006,mock_images/faces/CRM-IND-00006_face_1.jpg,<128d_vector_blob>,250x250,45-degree Left,Low light,Fearful,1,0,0,2022-09-08,Social Media,0.6816
7,CRM-IND-00006,mock_images/faces/CRM-IND-00006_face_2.jpg,<128d_vector_blob>,250x250,Left Profile,Natural daylight,Angry,0,0,0,2023-04-22,Manual Upload,0.7515
8,CRM-IND-00006,mock_images/faces/CRM-IND-00006_face_3.jpg,<128d_vector_blob>,250x250,Front,Bright,Serious,0,0,0,2025-12-24,Surveillance,0.7043
9,CRM-IND-00006,mock_images/faces/CRM-IND-00006_mugshot.jpg,<128d_vector_blob>,250x250,Front,Bright,Neutral,0,0,0,2022-10-07,Arrest Photo,0.7701
10,CRM-IND-00007,mock_images/faces/CRM-IND-00007_mugshot.jpg,<128d_vector_blob>,250x250,Front,Normal,Neutral,0,0,0,2022-03-16,Arrest Photo,0.9394
11,CRM-IND-00008,mock_images/faces/CRM-IND-00008_face_1.jpg,<128d_vector_blob>,250x250,45-degree Left,Bright,Smiling,0,0,0,2022-04-06,Arrest Photo,0.8625
12,CRM-IND-00008,mock_images/faces/CRM-IND-00008_mugshot.jpg,<128d_vector_blob>,250x250,Front,Artificial,Neutral,0,0,0,2025-03-01,Arrest Photo,0.9429
13,CRM-IND-00009,mock_images/faces/CRM-IND-00009_mugshot.jpg,<128d_vector_blob>,250x250,Front,Normal,Neutral,0,0,0,2023-05-22,Arrest Photo,0.8822
14,CRM-IND-00010,mock_images/faces/CRM-IND-00010_mugshot.jpg,<128d_vector_blob>,250x250,Front,Bright,Neutral,0,0,0,2025-07-24,Arrest Photo,0.9864
15,CRM-IND-00011,mock_images/faces/CRM-IND-00011_mugshot.jpg,<128d_vector_blob>,250x250,Front,Bright,Neutral,0,0,0,2025-02-09,Arrest Photo,0.882
16,CRM-IND-00012,mock_images/faces/CRM-IND-00012_mugshot.jpg,<128d_vector_blob>,250x250,Front,Artificial,Neutral,1,1,0,2022-03-25,Arrest Photo,0.8339
17,CRM-IND-00013,mock_images/faces/CRM-IND-00013_mugshot.jpg,<128d_vector_blob>,250x250,Front,Natural daylight,Neutral,1,0,0,2022-02-17,Arrest Photo,0.8823
18,CRM-IND-00014,mock_images/faces/CRM-IND-00014_face_1.jpg,<128d_vector_blob>,250x250,45-degree Right,Natural daylight,Angry,0,1,0,2023-07-31,Surveillance,0.5661
19,CRM-IND-00014,mock_images/faces/CRM-IND-00014_mugshot.jpg,<128d_vector_blob>,250x250,Front,Normal,Neutral,0,0,0,2022-06-13,Arrest Photo,0.884
20,CRM-IND-00015,mock_images/faces/CRM-IND-00015_face_1.jpg,<128d_vector_blob>,250x250,Overhead,Artificial,Fearful,1,0,0,2024-04-08,Manual Upload,0.8806
21,CRM-IND-00015,mock_images/faces/CRM-IND-00015_face_2.jpg,<128d_vector_blob>,250x250,Overhead,Natural daylight,Fearful,1,1,0,2024-02-22,Manual Upload,0.6081
22,CRM-IND-00015,mock_images/faces/CRM-IND-00015_face_3.jpg,<128d_vector_blob>,250x250,Left Profile,Natural daylight,Angry,0,0,0,2023-06-05,Surveillance,0.7182
23,CRM-IND-00015,mock_images/faces/CRM-IND-00015_mugshot.jpg,<128d_vector_blob>,250x250,Front,Artificial,Neutral,1,0,0,2022-01-26,Arrest Photo,0.8018
24,CRM-IND-00016,mock_images/faces/CRM-IND-00016_mugshot.jpg,<128d_vector_blob>,250x250,Front,Normal,Neutral,1,0,0,2022-04-13,Arrest Photo,0.8573
25,CRM-IND-00017,mock_images/faces/CRM-IND-00017_mugshot.jpg,<128d_vector_blob>,250x250,Front,Low light,Neutral,0,0,0,2024-06-30,Arrest Photo,0.8849
26,CRM-IND-00018,mock_images/faces/CRM-IND-00018_mugshot.jpg,<128d_vector_blob>,250x250,Front,Low light,Neutral,0,0,0,2023-09-08,Arrest Photo,0.8431
27,CRM-IND-00019,mock_images/faces/CRM-IND-00019_face_1.jpg,<128d_vector_blob>,250x250,Left Profile,Low light,Smiling,0,0,0,2025-10-25,Surveillance,0.8641
28,CRM-IND-00019,mock_images/faces/CRM-IND-00019_face_2.jpg,<128d_vector_blob>,250x250,Right Profile,Natural daylight,Serious,0,0,1,2025-04-14,Arrest Photo,0.8299
29,CRM-IND-00019,mock_images/faces/CRM-IND-00019_face_3.jpg,<128d_vector_blob>,250x250,Front,Natural daylight,Angry,0,1,0,2024-05-18,Social Media,0.7074
30,CRM-IND-00019,mock_images/faces/CRM-IND-00019_mugshot.jpg,<128d_vector_blob>,250x250,Front,Natural daylight,Neutral,0,0,0,2024-08-22,Arrest Photo,0.8423
31,CRM-IND-00020,mock_images/faces/CRM-IND-00020_mugshot.jpg,<128d_vector_blob>,250x250,Front,Natural daylight,Neutral,0,0,0,2023-07-03,Arrest Photo,0.852
32,CRM-IND-00021,mock_images/faces/CRM-IND-00021_face_1.jpg,<128d_vector_blob>,250x250,45-degree Left,Natural daylight,Smiling,0,0,0,2022-06-18,CCTV,0.6019
33,CRM-IND-00021,mock_images/faces/CRM-IND-00021_face_10.jpg,<128d_vector_blob>,250x250,Right Profile,Low light,Serious,0,1,0,2025-01-06,Arrest Photo,0.6178
34,CRM-IND-00021,mock_images/faces/CRM-IND-00021_face_11.jpg,<128d_vector_blob>,250x250,45-degree Left,Natural daylight,Serious,0,0,0,2022-03-09,Manual Upload,0.7082
35,CRM-IND-00021,mock_images/faces/CRM-IND-00021_face_12.jpg,<128d_vector_blob>,250x250,Right Profile,Natural daylight,Neutral,1,1,0,2022-10-15,CCTV,0.9255
36,CRM-IND-00021,mock_images/faces/CRM-IND-00021_face_13.jpg,<128d_vector_blob>,250x250,Left Profile,Normal,Angry,0,1,0,2022-05-02,CCTV,0.7944
37,CRM-IND-00021,mock_images/faces/CRM-IND-00021_face_14.jpg,<128d_vector_blob>,250x250,45-degree Left,Bright,Smiling,1,1,0,2024-02-16,Manual Upload,0.8245
38,CRM-IND-00021,mock_images/faces/CRM-IND-00021_face_15.jpg,<128d_vector_blob>,250x250,Overhead,Natural daylight,Angry,1,1,0,2023-02-16,Manual Upload,0.8393
39,CRM-IND-00021,mock_images/faces/CRM-IND-00021_face_16.jpg,<128d_vector_blob>,250x250,Overhead,Normal,Angry,1,0,0,2025-01-02,Surveillance,0.8919
40,CRM-IND-00021,mock_images/faces/CRM-IND-00021_face_17.jpg,<128d_vector_blob>,250x250,Right Profile,Bright,Smiling,1,0,0,2025-01-29,CCTV,0.5833
41,CRM-IND-00021,mock_images/faces/CRM-IND-00021_face_18.jpg,<128d_vector_blob>,250x250,Overhead,Bright,Smiling,0,0,0,2022-08-29,Social Media,0.5894
42,CRM-IND-00021,mock_images/faces/CRM-IND-00021_face_2.jpg,<128d_vector_blob>,250x250,45-degree Right,Normal,Fearful,0,1,0,2023-06-14,Surveillance,0.5503
43,CRM-IND-00021,mock_images/faces/CRM-IND-00021_face_3.jpg,<128d_vector_blob>,250x250,Front,Natural daylight,Angry,0,0,0,2023-06-13,Manual Upload,0.6052
44,CRM-IND-00021,mock_images/faces/CRM-IND-00021_face_4.jpg,<128d_vector_blob>,250x250,45-degree Right,Bright,Fearful,0,0,0,2024-02-18,CCTV,0.9236
45,CRM-IND-00021,mock_images/faces/CRM-IND-00021_face_5.jpg,<128d_vector_blob>,250x250,45-degree Left,Low light,Neutral,1,0,0,2024-08-03,Arrest Photo,0.7974
46,CRM-IND-00021,mock_images/faces/CRM-IND-00021_face_6.jpg,<128d_vector_blob>,250x250,Front,Bright,Serious,0,0,0,2024-07-02,Social Media,0.9108
47,CRM-IND-00021,mock_images/faces/CRM-IND-00021_face_7.jpg,<128d_vector_blob>,250x250,Overhead,Artificial,Serious,0,0,0,2025-03-19,Manual Upload,0.6271
48,CRM-IND-00021,mock_images/faces/CRM-IND-00021_face_8.jpg,<128d_vector_blob>,250x250,Left Profile,Bright,Angry,1,1,0,2022-03-28,CCTV,0.5857
49,CRM-IND-00021,mock_images/faces/CRM-IND-00021_face_9.jpg,<128d_vector_blob>,250x250,Front,Artificial,Angry,0,0,0,2023-07-21,Social Media,0.5534
50,CRM-IND-00021,mock_images/faces/CRM-IND-00021_mugshot.jpg,<128d_vector_blob>,250x250,Front,Normal,Neutral,0,0,0,2022-03-25,Arrest Photo,0.7553
51,CRM-IND-00022,mock_images/faces/CRM-IND-00022_mugshot.jpg,<128d_vector_blob>,250x250,Front,Low light,Neutral,1,0,0,2022-02-06,Arrest Photo,0.9255
52,CRM-IND-00023,mock_images/faces/CRM-IND-00023_face_1.jpg,<128d_vector_blob>,250x250,45-degree Left,Low light,Angry,1,0,0,2025-11-10,Manual Upload,0.5763
53,CRM-IND-00023,mock_images/faces/CRM-IND-00023_face_2.jpg,<128d_vector_blob>,250x250,45-degree Left,Low light,Angry,0,0,0,2022-09-21,Social Media,0.8343
54,CRM-IND-00023,mock_images/faces/CRM-IND-00023_mugshot.jpg,<128d_vector_blob>,250x250,Front,Artificial,Neutral,0,0,0,2022-10-06,Arrest Photo,0.9228
55,CRM-IND-00024,mock_images/faces/CRM-IND-00024_face_1.jpg,<128d_vector_blob>,250x250,Left Profile,Normal,Serious,1,0,0,2025-08-13,Manual Upload,0.818
56,CRM-IND-00024,mock_images/faces/CRM-IND-00024_mugshot.jpg,<128d_vector_blob>,250x250,Front,Artificial,Neutral,0,0,0,2023-10-30,Arrest Photo,0.9258
57,CRM-IND-00025,mock_images/faces/CRM-IND-00025_mugshot.jpg,<128d_vector_blob>,250x250,Front,Low light,Neutral,1,1,0,2024-12-04,Arrest Photo,0.869
58,CRM-IND-00026,mock_images/faces/CRM-IND-00026_face_1.jpg,<128d_vector_blob>,250x250,Left Profile,Low light,Serious,0,0,0,2022-11-26,Social Media,0.6075
